embedding,n_topics,outlier_pct_test,c_v_train,nmi_test,purity_test,ok,error
robert-base,19,0.177109440267335,0.5212849933202413,0.3759042919154139,0.5789473684210527,True,
mpnet-multilingual,3,0.0,0.43105064365486195,0.3388478996204783,0.3316624895572264,True,
