seed,n_topics,outlier_pct_train,c_v_train,outlier_pct_test,nmi_test,purity_test,ok,error
0,18,0.11368861024033437,0.5006366371321751,0.13784461152882205,0.3863069059574549,0.5889724310776943,True,
1,21,0.1709508881922675,0.5220134592139606,0.2096908939014202,0.39555669063769555,0.6056808688387636,True,
2,19,0.1258098223615465,0.5180565850822866,0.15873015873015872,0.3608422054404055,0.5730994152046783,True,
3,23,0.20208986415882968,0.535207419174284,0.24644945697577275,0.3779089899332901,0.5931495405179615,True,
4,20,0.1308254963427377,0.518253881633233,0.15371762740183792,0.37630295645368095,0.5847953216374269,True,
5,19,0.1696969696969697,0.5217051253943975,0.20634920634920634,0.37932139673940085,0.5856307435254804,True,
6,18,0.14984326018808777,0.5234658185432879,0.1871345029239766,0.3728743052735692,0.5714285714285714,True,
7,7,0.0022988505747126436,0.44668984083974117,0.000835421888053467,0.3424524735777525,0.40267335004177107,True,
8,7,0.0012539184952978057,0.44668984083974117,0.001670843776106934,0.34310474363352594,0.40350877192982454,True,
9,21,0.1592476489028213,0.49709712111252136,0.2071846282372598,0.38734509445605586,0.6015037593984962,True,
