metric,mean,std,min,max,n_runs
n_topics,17.3,5.6381636096240495,7.0,23.0,10
outlier_pct_train,0.1225705329153605,0.06856823108490312,0.0012539184952978057,0.20208986415882968,10
c_v_train,0.5029815728965628,0.031638648485617024,0.44668984083974117,0.535207419174284,10
outlier_pct_test,0.1509607351712615,0.08509468997564086,0.000835421888053467,0.24644945697577275,10
nmi_test,0.3722015762102831,0.018058418227298364,0.3424524735777525,0.39555669063769555,10
purity_test,0.5510442773600668,0.07871232933460076,0.40267335004177107,0.6056808688387636,10
